,index,lang,textfile,Freq,file,PCComplexity,compressed,folder,LengthScript,Idiosyncratic,Type,Family,Ancestor,Sum_count,Rel_freq,Sum_prob
25043,005D2,hbo,ג,9047,6,35.323276513847105,1038,Hebr,27,0,abjad,Middle East,Armi,1250323,0.0072357302872937635,1.0000000000000002
25044,005D2,heb,ג,3787,2,35.323276513847105,1038,Hebr,27,0,abjad,Middle East,Armi,401070,0.009442242002642931,0.9999999999999999
25045,005D3,hbo,ד,29223,6,37.547631367599394,974,Hebr,27,0,abjad,Middle East,Armi,1250323,0.023372360582025603,1.0000000000000002
25046,005D3,heb,ד,10823,2,37.547631367599394,974,Hebr,27,0,abjad,Middle East,Armi,401070,0.026985314284289526,0.9999999999999999
25047,005D4,hbo,ה,114087,6,48.3390570867524,1050,Hebr,27,0,abjad,Middle East,Armi,1250323,0.09124602202790799,1.0000000000000002
25048,005D4,heb,ה,34077,2,48.3390570867524,1050,Hebr,27,0,abjad,Middle East,Armi,401070,0.08496521804173834,0.9999999999999999
25049,005D5,hbo,ו,126753,6,27.3752400869637,892,Hebr,27,0,abjad,Middle East,Armi,1250323,0.10137620438878593,1.0000000000000002
25050,005D5,heb,ו,46516,2,27.3752400869637,892,Hebr,27,0,abjad,Middle East,Armi,401070,0.11597975415762835,0.9999999999999999
25051,005D6,hbo,ז,9686,6,27.2546108172632,987,Hebr,27,0,abjad,Middle East,Armi,1250323,0.0077467982273380556,1.0000000000000002
25052,005D6,heb,ז,3345,2,27.2546108172632,987,Hebr,27,0,abjad,Middle East,Armi,401070,0.00834018999177201,0.9999999999999999
25053,005D7,hbo,ח,30368,6,54.6182914469557,1077,Hebr,27,0,abjad,Middle East,Armi,1250323,0.024288123948771636,1.0000000000000002
25054,005D7,heb,ח,9084,2,54.6182914469557,1077,Hebr,27,0,abjad,Middle East,Armi,401070,0.022649412820704616,0.9999999999999999
25055,005D8,hbo,ט,8186,6,59.1550443359474,1208,Hebr,27,0,abjad,Middle East,Armi,1250323,0.0065471082272340825,1.0000000000000002
25056,005D8,heb,ט,2284,2,59.1550443359474,1208,Hebr,27,0,abjad,Middle East,Armi,401070,0.005694766499613534,0.9999999999999999
25057,005D9,hbo,י,130334,6,17.102979166081198,962,Hebr,27,0,abjad,Middle East,Armi,1250323,0.10424026431570083,1.0000000000000002
25058,005D9,heb,י,42862,2,17.102979166081198,962,Hebr,27,0,abjad,Middle East,Armi,401070,0.10686912509038322,0.9999999999999999
25059,005DA,hbo,ך,10426,6,45.809959499189794,975,Hebr,27,0,abjad,Middle East,Armi,1250323,0.008338645294056016,1.0000000000000002
25060,005DA,heb,ך,3409,2,45.809959499189794,975,Hebr,27,0,abjad,Middle East,Armi,401070,0.008499763133617572,0.9999999999999999
25061,005DB,hbo,כ,35535,6,41.9170839362089,1029,Hebr,27,0,abjad,Middle East,Armi,1250323,0.028420656102463124,1.0000000000000002
25062,005DB,heb,כ,11954,2,41.9170839362089,1029,Hebr,27,0,abjad,Middle East,Armi,401070,0.029805270900341588,0.9999999999999999
25063,005DC,hbo,ל,85538,6,43.7159336549113,1077,Hebr,27,0,abjad,Middle East,Armi,1250323,0.06841272215259576,1.0000000000000002
25064,005DC,heb,ל,30383,2,43.7159336549113,1077,Hebr,27,0,abjad,Middle East,Armi,401070,0.07575485576083975,0.9999999999999999
25065,005DD,hbo,ם,42426,6,62.372424030269,1070,Hebr,27,0,abjad,Middle East,Armi,1250323,0.03393203196294078,1.0000000000000002
25066,005DD,heb,ם,18880,2,62.372424030269,1070,Hebr,27,0,abjad,Middle East,Armi,401070,0.04707407684444112,0.9999999999999999
25067,005DE,hbo,מ,59177,6,56.6964553125408,1205,Hebr,27,0,abjad,Middle East,Armi,1250323,0.04732937009076855,1.0000000000000002
25068,005DE,heb,מ,19579,2,56.6964553125408,1205,Hebr,27,0,abjad,Middle East,Armi,401070,0.04881691475303563,0.9999999999999999
25069,005DF,hbo,ן,17732,6,34.991141436286895,974,Hebr,27,0,abjad,Middle East,Armi,1250323,0.014181935387895767,1.0000000000000002
25070,005DF,heb,ן,4788,2,34.991141436286895,974,Hebr,27,0,abjad,Middle East,Armi,401070,0.01193806567432119,0.9999999999999999
25071,005E0,hbo,נ,39944,6,30.1076111019405,939,Hebr,27,0,abjad,Middle East,Armi,1250323,0.0319469449094354,1.0000000000000002
25072,005E0,heb,נ,12378,2,30.1076111019405,939,Hebr,27,0,abjad,Middle East,Armi,401070,0.030862442965068442,0.9999999999999999
25073,005E1,hbo,ס,8607,6,54.2835943989608,1212,Hebr,27,0,abjad,Middle East,Armi,1250323,0.0068838212205965974,1.0000000000000002
25074,005E1,heb,ס,3729,2,54.2835943989608,1212,Hebr,27,0,abjad,Middle East,Armi,401070,0.009297628842845388,0.9999999999999999
25075,005E2,hbo,ע,46413,6,59.1047461813874,1270,Hebr,27,0,abjad,Middle East,Armi,1250323,0.03712080798321714,1.0000000000000002
25076,005E2,heb,ע,13020,2,59.1047461813874,1270,Hebr,27,0,abjad,Middle East,Armi,401070,0.03246316104420675,0.9999999999999999
25077,005E3,hbo,ף,3974,6,60.86876207877621,1226,Hebr,27,0,abjad,Middle East,Armi,1250323,0.0031783787069421263,1.0000000000000002
25078,005E3,heb,ף,632,2,60.86876207877621,1226,Hebr,27,0,abjad,Middle East,Armi,401070,0.0015757847757249359,0.9999999999999999
25079,005E4,hbo,פ,16997,6,57.041928596594296,1265,Hebr,27,0,abjad,Middle East,Armi,1250323,0.01359408728784482,1.0000000000000002
25080,005E4,heb,פ,5013,2,57.041928596594296,1265,Hebr,27,0,abjad,Middle East,Armi,401070,0.012499065001121999,0.9999999999999999
25081,005E5,hbo,ץ,4270,6,58.310613991184795,1167,Hebr,27,0,abjad,Middle East,Armi,1250323,0.00341511753362931,1.0000000000000002
25082,005E5,heb,ץ,430,2,58.310613991184795,1167,Hebr,27,0,abjad,Middle East,Armi,401070,0.001072132046774877,0.9999999999999999
25083,005E6,hbo,צ,12005,6,52.9738836969656,1232,Hebr,27,0,abjad,Middle East,Armi,1250323,0.009601518967498798,1.0000000000000002
25084,005E6,heb,צ,3246,2,52.9738836969656,1232,Hebr,27,0,abjad,Middle East,Armi,401070,0.008093350287979655,0.9999999999999999
25085,005E7,hbo,ק,20672,6,57.876069780207004,1070,Hebr,27,0,abjad,Middle East,Armi,1250323,0.016533327788099555,1.0000000000000002
25086,005E7,heb,ק,5741,2,57.876069780207004,1070,Hebr,27,0,abjad,Middle East,Armi,401070,0.014314209489615278,0.9999999999999999
25087,005E8,hbo,ר,73285,6,35.0338260107553,904,Hebr,27,0,abjad,Middle East,Armi,1250323,0.05861285443841312,1.0000000000000002
